,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
239,6,2,3,4,2,9,2,4,1,5,3,10
240,3,2,3,4,1,99,1,4,2,5,3,11
241,2,2,5,1,4,99,99,4,2,1,5,7
242,4,1,1,4,4,5,1,1,1,5,3,7
243,7,1,2,4,2,5,1,5,5,1,3,11
244,6,1,4,3,3,5,1,5,2,4,10,11
245,7,2,2,4,2,9,2,1,1,1,3,3
246,4,2,6,1,2,5,1,5,5,2,97,12
247,2,2,7,1,3,5,1,4,5,5,97,14
248,4,2,6,4,3,9,2,5,5,5,3,15
249,3,1,6,3,2,9,2,2,4,2,5,8
250,2,1,6,1,3,9,2,3,5,2,3,10
251,4,1,3,1,3,5,1,1,5,2,2,8
252,5,1,2,3,1,9,2,5,5,4,97,14
253,6,2,6,4,1,9,2,5,5,3,4,13
254,2,2,7,1,4,9,2,5,5,5,5,15
255,6,1,2,4,3,9,2,2,5,5,5,12
256,4,1,6,4,1,5,1,1,1,1,3,3
257,5,2,2,4,3,9,2,2,5,5,5,12
258,4,1,6,3,1,9,2,1,2,2,5,5
259,6,1,4,3,4,5,1,5,5,2,3,12
260,3,1,4,1,1,9,2,1,1,4,5,6
261,1,2,5,4,3,3,1,5,5,1,5,11
262,7,1,1,1,2,5,1,1,4,1,3,6
263,5,1,0,1,4,98,1,5,1,4,2,10
264,2,2,5,4,2,3,1,5,5,5,2,15
265,5,1,2,3,3,5,1,2,1,4,3,7
266,2,2,5,4,4,99,99,2,2,2,2,6
267,3,2,6,4,4,5,1,5,2,1,5,8
268,2,1,2,4,4,5,1,5,4,1,97,10
269,2,2,6,4,4,5,1,2,5,1,3,8
270,7,2,1,4,1,9,2,5,5,1,5,11
271,5,1,1,1,3,14,99,1,4,4,3,9
272,4,1,1,3,1,99,99,5,1,1,3,7
273,3,2,1,4,3,5,1,5,5,2,97,12
274,2,2,3,1,4,5,99,3,5,4,3,12
275,5,2,1,4,4,97,1,2,1,4,3,7
276,6,1,2,3,3,9,2,1,1,5,5,7
277,5,2,3,3,4,98,1,1,1,5,3,7
278,3,2,6,1,1,5,1,5,4,5,3,14
279,3,1,6,4,4,99,99,5,5,4,97,14
280,2,2,6,1,3,3,1,5,5,5,3,15
281,3,2,6,1,2,9,2,1,3,1,3,5
282,3,1,6,1,3,9,2,5,4,4,3,13
283,2,1,6,1,1,9,2,3,2,5,3,10
284,6,1,1,4,3,9,2,1,5,5,3,11
285,3,1,5,1,3,9,2,1,2,1,5,4
286,4,2,6,1,3,5,1,3,1,5,3,9
287,4,2,4,4,1,5,1,1,1,2,3,4
288,5,1,2,4,2,6,50,5,1,1,5,7
289,4,1,2,1,2,5,1,1,5,2,3,8
290,5,1,9,1,1,5,1,2,4,2,3,8
291,4,1,6,2,2,9,2,5,1,1,5,7
292,4,2,6,1,1,99,2,2,5,1,5,8
293,7,1,2,4,2,5,1,1,4,4,5,9
294,3,2,9,1,3,5,1,5,1,1,4,7
295,5,1,6,1,3,9,2,1,1,2,3,4
296,2,1,6,1,3,9,2,1,1,1,5,3
297,3,1,4,3,3,9,2,1,2,2,3,5
298,4,1,7,1,1,9,2,1,1,1,3,3
299,4,2,6,1,2,5,1,5,1,5,3,11
300,6,1,1,4,2,5,1,1,1,1,3,3
301,6,2,2,4,4,5,1,5,4,2,3,11
302,3,1,4,3,4,5,2,1,5,1,3,7
303,6,1,6,3,1,5,1,5,5,5,3,15
304,2,1,5,4,3,5,1,5,5,2,5,12
305,7,1,2,4,3,99,2,5,1,4,3,10
306,2,2,5,4,3,99,99,4,1,4,3,9
307,5,1,2,4,2,5,2,1,1,4,3,6
308,5,2,6,1,3,50,1,4,5,5,3,14
309,7,2,1,4,3,97,97,2,4,2,5,8
310,4,1,7,2,1,9,2,4,2,4,3,10
311,3,2,5,4,3,5,1,2,3,2,3,7
312,4,2,7,3,3,5,99,5,1,4,3,10
313,2,2,6,3,2,9,2,5,5,5,5,15
314,2,2,4,1,4,5,1,5,4,5,3,14
315,3,2,6,4,2,3,2,1,4,1,3,6
316,3,1,7,1,4,3,99,1,5,2,3,8
317,3,1,6,4,4,9,2,1,5,1,5,7
318,6,1,1,3,4,99,99,1,5,4,5,10
319,4,1,6,4,1,5,1,5,5,4,3,14
320,6,2,2,3,4,9,60,2,5,5,5,12
321,7,1,2,4,1,3,2,1,5,2,3,8
322,4,2,6,4,3,9,2,2,5,1,3,8
323,4,1,6,1,3,5,1,5,4,5,3,14
324,5,2,6,3,1,5,1,2,5,1,3,8
325,3,2,6,1,3,98,1,4,2,4,5,10
326,2,1,6,4,3,3,1,1,4,2,3,7
327,3,2,7,1,2,3,1,5,4,5,3,14
328,5,2,8,1,3,3,1,4,4,1,3,9
329,2,1,6,4,3,98,2,4,2,2,3,8
330,3,1,5,3,3,9,2,5,2,1,97,8
331,5,1,3,3,3,5,1,1,4,1,3,6
332,4,2,5,3,4,3,1,1,1,5,10,7
333,7,2,2,4,1,5,1,1,2,5,3,8
334,5,1,1,3,3,9,2,5,5,1,96,11
335,4,1,3,1,3,9,2,2,5,5,5,12
336,2,2,5,1,3,5,1,4,4,5,5,13
337,5,1,6,3,1,5,1,5,1,5,3,11
338,5,2,7,3,3,9,2,1,4,5,5,10
339,3,1,6,1,3,9,2,5,5,5,97,15
340,2,1,6,4,1,3,1,5,5,5,97,15
341,4,2,2,1,3,9,2,1,1,5,5,7
342,3,2,6,3,2,5,1,2,5,1,2,8
343,5,2,1,3,2,5,1,1,5,5,5,11
344,3,1,6,3,3,9,2,5,5,1,97,11
345,2,1,5,1,3,5,2,5,1,5,5,11
346,3,1,6,1,3,99,2,1,5,1,3,7
347,2,1,4,3,4,3,1,5,1,5,3,11
348,5,2,6,3,3,3,50,4,5,5,3,14
349,4,2,7,1,2,2,50,2,1,5,5,8
350,3,2,8,4,2,3,1,5,1,5,5,11
351,4,2,5,3,3,5,99,4,1,5,3,10
352,5,2,6,4,3,99,97,1,2,2,3,5
353,2,2,6,4,2,3,50,4,1,2,5,7
354,3,1,8,4,3,3,1,4,5,4,3,13
355,3,1,8,4,3,5,1,4,5,5,4,14
356,4,1,6,1,3,5,1,5,1,1,5,7
357,2,1,5,3,4,99,99,1,5,1,5,7
358,2,1,7,1,4,3,50,5,5,5,96,15
359,3,2,8,1,1,3,1,2,3,5,3,10
360,4,1,1,3,4,3,1,1,1,1,3,3
361,7,1,4,3,1,5,1,5,1,1,5,7
362,4,1,7,4,2,9,2,5,2,1,3,8
363,3,1,7,4,1,9,2,2,2,5,3,9
364,3,1,4,1,3,1,1,1,1,1,3,3
365,3,2,6,3,3,99,99,4,5,5,5,14
366,4,2,6,1,1,3,60,1,1,1,3,3
367,2,2,6,1,3,3,1,1,4,5,3,10
368,5,2,4,3,1,5,1,1,2,5,3,8
369,2,1,6,4,4,99,99,5,5,1,97,11
370,4,2,4,4,4,3,99,3,1,4,5,8
371,7,2,1,4,4,99,1,1,1,1,5,3
372,5,1,0,4,4,60,1,4,5,5,3,14
373,5,1,6,3,1,5,1,5,5,1,97,11
374,4,1,1,3,3,9,50,1,5,1,5,7
375,5,2,1,1,4,3,2,1,5,1,3,7
376,4,2,7,1,4,5,1,5,5,1,5,11
377,6,2,1,4,3,3,1,1,4,4,3,9
378,3,2,5,3,4,3,1,4,4,1,3,9
379,3,1,8,3,2,9,2,5,1,5,97,11
380,4,1,6,4,2,9,2,4,1,3,3,8
381,2,2,6,3,3,3,1,2,3,5,97,10
382,2,1,6,4,3,9,2,4,1,1,3,6
383,6,1,0,3,3,98,97,4,1,1,3,6
384,3,2,8,3,3,9,2,5,5,5,3,15
385,2,2,6,1,2,5,1,5,5,5,3,15
386,2,1,6,1,4,5,1,1,2,5,3,8
387,4,2,0,4,2,99,1,5,5,5,3,15
388,6,1,2,4,4,3,1,5,1,1,3,7
389,2,2,5,4,3,5,1,5,1,5,10,11
390,5,1,0,4,4,5,1,1,5,1,3,7
391,3,1,2,1,4,5,99,1,5,5,3,11
392,4,1,6,1,3,2,2,5,4,5,5,14
393,6,2,3,3,2,5,1,1,1,1,3,3
394,7,2,2,4,4,5,97,1,1,1,3,3
395,5,2,6,1,3,3,60,1,5,1,3,7
396,3,2,7,1,3,9,2,5,1,4,3,10
397,3,2,6,1,3,50,50,5,3,4,97,12
398,5,1,2,1,4,5,2,5,3,1,5,9
399,3,2,6,3,3,50,50,4,3,3,5,10
400,1,2,7,4,3,7,1,3,3,5,3,11
401,6,1,7,1,3,5,1,5,5,2,3,12
402,4,2,6,3,3,5,1,1,5,3,10,9
403,5,2,8,1,3,5,1,1,1,1,3,3
404,5,1,6,3,3,98,1,4,2,2,3,8
405,3,1,7,1,3,5,1,3,4,1,97,8
406,2,1,6,3,3,5,1,5,1,5,3,11
407,6,1,3,4,3,12,1,1,2,2,3,5
408,5,1,4,2,1,5,1,5,5,5,3,15
409,4,2,6,4,3,9,2,1,5,5,5,11
410,3,2,8,1,1,9,2,5,5,5,97,15
